job_title,sector,company,country,closing_date
Excavator Loader on P Tyres,Construction,KUROS CONSTRUCTION SOLUTIONS LTD.,Mauritius,15/08/2024
Employer,KUROS CONSTRUCTION SOLUTIONS LTD.,Economic Sector,Construction,District in Mauritius
Helper,Construction,TOOLING AND ENGINEERING PRODUCTS LIMITED,Mauritius,16/08/2024
Employer,TOOLING AND ENGINEERING PRODUCTS LIMITED,Economic Sector,Construction,District in Mauritius
Painter,Construction,TOOLING AND ENGINEERING PRODUCTS LIMITED,Mauritius,16/08/2024
Employer,TOOLING AND ENGINEERING PRODUCTS LIMITED,Economic Sector,Construction,District in Mauritius
Mason,Construction,TOOLING AND ENGINEERING PRODUCTS LIMITED,Mauritius,16/08/2024
Employer,TOOLING AND ENGINEERING PRODUCTS LIMITED,Economic Sector,Construction,District in Mauritius
"Engineer, Building Construction",Construction,TOOLING AND ENGINEERING PRODUCTS LIMITED,Mauritius,16/08/2024
Employer,TOOLING AND ENGINEERING PRODUCTS LIMITED,Economic Sector,Construction,District in Mauritius
Assistant Quantity Surveyor,Construction,MATRIX PROJECT SERVICES LTD,Mauritius,16/08/2024
Employer,MATRIX PROJECT SERVICES LTD,Economic Sector,Construction,District in Mauritius
Administrative Clerk,Construction,"B.L. HARBERT INTERNATIONAL, L.L.C",Mauritius,17/08/2024
Employer,"B.L. HARBERT INTERNATIONAL, L.L.C",Economic Sector,Construction,District in Mauritius
Accounting Officer,Construction,WENSENG INTERNATIONAL CO LTD,Mauritius,19/08/2024
Employer,WENSENG INTERNATIONAL CO LTD,Economic Sector,Construction,District in Mauritius
Human Resource Clerk,Construction,WENSENG INTERNATIONAL CO LTD,Mauritius,19/08/2024
Employer,WENSENG INTERNATIONAL CO LTD,Economic Sector,Construction,District in Mauritius
Draughtsperson,Construction,WENSENG INTERNATIONAL CO LTD,Mauritius,19/08/2024
Employer,WENSENG INTERNATIONAL CO LTD,Economic Sector,Construction,District in Mauritius
Site Manager,Construction,WENSENG INTERNATIONAL CO LTD,Mauritius,19/08/2024
Employer,WENSENG INTERNATIONAL CO LTD,Economic Sector,Construction,District in Mauritius
Site Agent/Technician,Construction,KUROS CONSTRUCTION SOLUTIONS LTD.,Mauritius,29/08/2024
Employer,KUROS CONSTRUCTION SOLUTIONS LTD.,Economic Sector,Construction,District in Mauritius
Site Engineer,Construction,KUROS CONSTRUCTION SOLUTIONS LTD.,Mauritius,29/08/2024
Employer,KUROS CONSTRUCTION SOLUTIONS LTD.,Economic Sector,Construction,District in Mauritius
Trainee Engineer,Construction,KUROS CONSTRUCTION SOLUTIONS LTD.,Mauritius,29/08/2024
Employer,KUROS CONSTRUCTION SOLUTIONS LTD.,Economic Sector,Construction,District in Mauritius
Chief Supervisor,Construction,KUROS CONSTRUCTION SOLUTIONS LTD.,Mauritius,29/08/2024
Employer,KUROS CONSTRUCTION SOLUTIONS LTD.,Economic Sector,Construction,District in Mauritius
Site Clerk,Construction,KUROS CONSTRUCTION SOLUTIONS LTD.,Mauritius,29/08/2024
Employer,KUROS CONSTRUCTION SOLUTIONS LTD.,Economic Sector,Construction,District in Mauritius
M & E Coordinator,Construction,KUROS CONSTRUCTION SOLUTIONS LTD.,Mauritius,29/08/2024
Employer,KUROS CONSTRUCTION SOLUTIONS LTD.,Economic Sector,Construction,District in Mauritius
"Handyman, Building Maintenance",Construction,KUROS CONSTRUCTION SOLUTIONS LTD.,Mauritius,29/08/2024
Employer,KUROS CONSTRUCTION SOLUTIONS LTD.,Economic Sector,Construction,District in Mauritius
General Worker,Construction,KUROS CONSTRUCTION SOLUTIONS LTD.,Mauritius,30/08/2024
Employer,KUROS CONSTRUCTION SOLUTIONS LTD.,Economic Sector,Construction,District in Mauritius
"Plumber and Pipe Fitter, General",Construction,KUROS CONSTRUCTION SOLUTIONS LTD.,Mauritius,30/08/2024
Employer,KUROS CONSTRUCTION SOLUTIONS LTD.,Economic Sector,Construction,District in Mauritius
"Electrician, General",Construction,KUROS CONSTRUCTION SOLUTIONS LTD.,Mauritius,30/08/2024
Employer,KUROS CONSTRUCTION SOLUTIONS LTD.,Economic Sector,Construction,District in Mauritius
Gardener,Construction,RENOVATIA LTD,Mauritius,30/08/2024
Employer,RENOVATIA LTD,Economic Sector,Construction,District in Mauritius
"Plumber and Pipe Fitter, General",Construction,SOLVCON LIMITED,Mauritius,31/08/2024
Employer,SOLVCON LIMITED,Economic Sector,Construction,District in Mauritius
Accountant,Construction,METASIGN COMPANY LTD,Mauritius,31/08/2024
Employer,METASIGN COMPANY LTD,Economic Sector,Construction,District in Mauritius
Secretary,Construction,PRO-DESIGN ENGINEERING CONSULTANTS LTD,Mauritius,31/08/2024
Employer,PRO-DESIGN ENGINEERING CONSULTANTS LTD,Economic Sector,Construction,District in Mauritius
Storekeeper,Construction,METASIGN COMPANY LTD,Mauritius,31/08/2024
Employer,METASIGN COMPANY LTD,Economic Sector,Construction,District in Mauritius
Receptionist,Construction,PRO-DESIGN ENGINEERING CONSULTANTS LTD,Mauritius,31/08/2024
Employer,PRO-DESIGN ENGINEERING CONSULTANTS LTD,Economic Sector,Construction,District in Mauritius
Administrative Clerk,Construction,METASIGN COMPANY LTD,Mauritius,31/08/2024
Employer,METASIGN COMPANY LTD,Economic Sector,Construction,District in Mauritius
Accounts clerk,Construction,TOPBUILDER CO LTD,Mauritius,31/08/2024
Employer,TOPBUILDER CO LTD,Economic Sector,Construction,District in Mauritius
Procurement/Purchasing Officer,Construction,TOPBUILDER CO LTD,Mauritius,31/08/2024
Employer,TOPBUILDER CO LTD,Economic Sector,Construction,District in Mauritius
Human Resource Officer,Construction,GREEN SCAFF CO LTD,Mauritius,31/08/2024
Employer,GREEN SCAFF CO LTD,Economic Sector,Construction,District in Mauritius
Human Resource Assistant,Construction,SAFETY CONSTRUCTION CO LTD,Mauritius,31/08/2024
Employer,SAFETY CONSTRUCTION CO LTD,Economic Sector,Construction,District in Mauritius
"Engineer, Building Construction",Construction,JIANGXI CONSTRUCTION INTERNATIONAL ENGINEERING (MAURITIUS) CO LTD,Mauritius,31/08/2024
Employer,JIANGXI CONSTRUCTION INTERNATIONAL ENGINEERING (MAURITIUS) CO LTD,Economic Sector,Construction,State / Province
"Technician, General",Construction,JIANGXI CONSTRUCTION INTERNATIONAL ENGINEERING (MAURITIUS) CO LTD,Mauritius,31/08/2024
Employer,JIANGXI CONSTRUCTION INTERNATIONAL ENGINEERING (MAURITIUS) CO LTD,Economic Sector,Construction,State / Province
Civil Engineer,Construction,METASIGN COMPANY LTD,Mauritius,31/08/2024
Employer,METASIGN COMPANY LTD,Economic Sector,Construction,District in Mauritius
Site Supervisor,Construction,METASIGN COMPANY LTD,Mauritius,31/08/2024
Employer,METASIGN COMPANY LTD,Economic Sector,Construction,District in Mauritius
Waterproofing applicator,Construction,SPECIALITY COATINGS LIMITED,Mauritius,15/10/2024
Employer,SPECIALITY COATINGS LIMITED,Economic Sector,Construction,District in Mauritius
Carpenter,Construction,RBRB CONSTRUCTION LTD,Mauritius,31/10/2024
Employer,RBRB CONSTRUCTION LTD,Economic Sector,Construction,District in Mauritius
Cabinet Maker/Menuisier,Construction,RBRB CONSTRUCTION LTD,Mauritius,31/10/2024
Employer,RBRB CONSTRUCTION LTD,Economic Sector,Construction,District in Mauritius
Painter,Construction,RBRB CONSTRUCTION LTD,Mauritius,31/10/2024
Employer,RBRB CONSTRUCTION LTD,Economic Sector,Construction,District in Mauritius
"Varnisher, Furniture",Construction,RBRB CONSTRUCTION LTD,Mauritius,31/10/2024
Employer,RBRB CONSTRUCTION LTD,Economic Sector,Construction,District in Mauritius
Foreman,Construction,RBRB CONSTRUCTION LTD,Mauritius,31/10/2024
Employer,RBRB CONSTRUCTION LTD,Economic Sector,Construction,District in Mauritius
False Ceiling Maker / Fixer,Construction,RBRB CONSTRUCTION LTD,Mauritius,31/10/2024
Employer,RBRB CONSTRUCTION LTD,Economic Sector,Construction,District in Mauritius
"Technician, General",Construction,RBRB CONSTRUCTION LTD,Mauritius,31/10/2024
Employer,RBRB CONSTRUCTION LTD,Economic Sector,Construction,District in Mauritius
M & E Coordinator,Construction,RBRB CONSTRUCTION LTD,Mauritius,31/10/2024
Employer,RBRB CONSTRUCTION LTD,Economic Sector,Construction,District in Mauritius
Mason,Construction,RBRB CONSTRUCTION LTD,Mauritius,31/10/2024
Employer,RBRB CONSTRUCTION LTD,Economic Sector,Construction,District in Mauritius
Tile Setter/Marble Layer,Construction,RBRB CONSTRUCTION LTD,Mauritius,31/10/2024
Employer,RBRB CONSTRUCTION LTD,Economic Sector,Construction,District in Mauritius
Welder,Construction,RBRB CONSTRUCTION LTD,Mauritius,31/10/2024
Employer,RBRB CONSTRUCTION LTD,Economic Sector,Construction,District in Mauritius
Multi-Skilled Tradesman (Building Construction),Construction,RBRB CONSTRUCTION LTD,Mauritius,31/10/2024
Employer,RBRB CONSTRUCTION LTD,Economic Sector,Construction,District in Mauritius
"Cook, General",Construction,RBRB CONSTRUCTION LTD,Mauritius,31/10/2024
Employer,RBRB CONSTRUCTION LTD,Economic Sector,Construction,District in Mauritius
"Plumber and Pipe Fitter, General",Construction,RBRB CONSTRUCTION LTD,Mauritius,31/10/2024
Employer,RBRB CONSTRUCTION LTD,Economic Sector,Construction,District in Mauritius
"Electrician, General",Construction,RBRB CONSTRUCTION LTD,Mauritius,31/10/2024
Employer,RBRB CONSTRUCTION LTD,Economic Sector,Construction,District in Mauritius
"Driver, Truck/Goods Vehicle/Chauffeur Poid-Lourd",Construction,RBRB CONSTRUCTION LTD,Mauritius,31/10/2024
Employer,RBRB CONSTRUCTION LTD,Economic Sector,Construction,District in Mauritius
Welder,Construction,METASIGN COMPANY LTD,Mauritius,31/12/2024
Employer,METASIGN COMPANY LTD,Economic Sector,Construction,District in Mauritius
Mason,Construction,METASIGN COMPANY LTD,Mauritius,31/12/2024
Employer,METASIGN COMPANY LTD,Economic Sector,Construction,District in Mauritius
